subject,model,nll,cv_nll,params
A289D98Z4GAZ28:3ZV9H2YQQEFR2R3JK2IXZUJPXAF3WW,random_model,2657.1865550465027,2657.1865550464986,[0.3819660112501051]
A3GXC3VG37CQ3G:3TPWUS5F8A9FFRZ2DVTYSXNJ6BWWC6,gamma_only_model,2124.937060225526,2125.8380040336897,[0.04147035416862567]
A3GXC3VG37CQ3G:3TPWUS5F8A9FFRZ2DVTYSXNJ6BWWC6,gamma_0_model,2132.1250840385414,2132.9703399160717,[0.2893306216614754]
A3GXC3VG37CQ3G:3TPWUS5F8A9FFRZ2DVTYSXNJ6BWWC6,gamma_no_same_model,2271.674899808879,2272.676299987876,[0.06343560517225512]
A3GXC3VG37CQ3G:3TPWUS5F8A9FFRZ2DVTYSXNJ6BWWC6,eureka_model,2205.2384326264723,2215.0235343790123,"[13.963222854852392, 0.4173048925238411]"
A3GXC3VG37CQ3G:3TPWUS5F8A9FFRZ2DVTYSXNJ6BWWC6,forward_search,2204.544726574231,2204.704416463742,"[0.9135618503911649, 1.0e10]"
A3GXC3VG37CQ3G:3TPWUS5F8A9FFRZ2DVTYSXNJ6BWWC6,opt_rand_model,2271.864701507229,2272.0044586344584,[0.506115859216321]
A3GXC3VG37CQ3G:3TPWUS5F8A9FFRZ2DVTYSXNJ6BWWC6,hill_climbing_model,2674.7166211741833,2678.3906948821514,"[0.6619894520613536, -1.0644234245141913, 0.07533886104248923]"
A3GXC3VG37CQ3G:3TPWUS5F8A9FFRZ2DVTYSXNJ6BWWC6,random_model,2799.4354207240344,2799.435420724006,[0.3819660112501051]
A1SJRFJWFXSDH4:3RUIQRXJBCWS71H9MUFVM5WQ3SCLLJ,gamma_only_model,460.03890505629835,463.36180091789595,[0.0810394790255567]
A1SJRFJWFXSDH4:3RUIQRXJBCWS71H9MUFVM5WQ3SCLLJ,gamma_0_model,469.66489498346306,470.02858510683876,[0.3926375498584998]
A1SJRFJWFXSDH4:3RUIQRXJBCWS71H9MUFVM5WQ3SCLLJ,gamma_no_same_model,480.1089364923144,480.64711046910327,[0.11058292496830431]
A1SJRFJWFXSDH4:3RUIQRXJBCWS71H9MUFVM5WQ3SCLLJ,eureka_model,463.52539512975756,470.89383093597127,"[12.97370383819652, 0.45916268611440403]"
A1SJRFJWFXSDH4:3RUIQRXJBCWS71H9MUFVM5WQ3SCLLJ,forward_search,448.3716124134223,451.33977480717886,"[0.8632202823605523, 3.798215306e9]"
A1SJRFJWFXSDH4:3RUIQRXJBCWS71H9MUFVM5WQ3SCLLJ,opt_rand_model,467.0293453871245,468.754716936274,[0.4947025827013891]
A1SJRFJWFXSDH4:3RUIQRXJBCWS71H9MUFVM5WQ3SCLLJ,hill_climbing_model,541.0517789070057,544.5227108982526,"[0.8006078278204942, -1.2689341838377837, -0.17636922776615252]"
A1SJRFJWFXSDH4:3RUIQRXJBCWS71H9MUFVM5WQ3SCLLJ,random_model,583.2882117286687,583.2882117286698,[0.3819660112501051]
A13BZCNJ0WR1T7:3TYCR1GOTDRCCQYD1V64UK7OHTBZLQ,gamma_only_model,2743.796078626896,2744.673706876486,[0.07516994036716051]
A13BZCNJ0WR1T7:3TYCR1GOTDRCCQYD1V64UK7OHTBZLQ,gamma_0_model,2799.267633325576,2799.815202295957,[0.4120698169451613]
A13BZCNJ0WR1T7:3TYCR1GOTDRCCQYD1V64UK7OHTBZLQ,gamma_no_same_model,2877.4686025086626,2878.0739380368873,[0.10336215633759002]
A13BZCNJ0WR1T7:3TYCR1GOTDRCCQYD1V64UK7OHTBZLQ,eureka_model,2898.1615927544244,2901.586264318399,"[13.952378948866755, 0.5351828579319114]"
A13BZCNJ0WR1T7:3TYCR1GOTDRCCQYD1V64UK7OHTBZLQ,forward_search,2982.498779682215,3001.746498267965,"[1.2223271178776403, 1.403289e7]"
A13BZCNJ0WR1T7:3TYCR1GOTDRCCQYD1V64UK7OHTBZLQ,opt_rand_model,2911.475511401805,2912.3497236392122,[0.5672973793791499]
A13BZCNJ0WR1T7:3TYCR1GOTDRCCQYD1V64UK7OHTBZLQ,hill_climbing_model,3240.4361669000514,3249.5366927757987,"[0.1740056825392915, -1.1964026817165356, 0.05889419151109087]"
A13BZCNJ0WR1T7:3TYCR1GOTDRCCQYD1V64UK7OHTBZLQ,random_model,3431.989057938852,3431.9890579388093,[0.3819660112501051]
ALH1K6ZAQQMN7:3IXEICO793RY7TM78ZBKJDOA7ADT6Q,gamma_only_model,2763.613015746748,2764.3052324642013,[0.05514447525320087]
ALH1K6ZAQQMN7:3IXEICO793RY7TM78ZBKJDOA7ADT6Q,gamma_0_model,2774.142353461938,2774.4793227199684,[0.35248771650197763]
ALH1K6ZAQQMN7:3IXEICO793RY7TM78ZBKJDOA7ADT6Q,gamma_no_same_model,2866.3305167003114,2866.9735109815374,[0.06191029244982918]
ALH1K6ZAQQMN7:3IXEICO793RY7TM78ZBKJDOA7ADT6Q,eureka_model,2801.21438182628,2818.0822441162773,"[13.971474201146858, 0.40559125270764307]"
ALH1K6ZAQQMN7:3IXEICO793RY7TM78ZBKJDOA7ADT6Q,forward_search,2881.2021123351133,2880.499699166573,"[1.633455125515244, 3.8689007e7]"
ALH1K6ZAQQMN7:3IXEICO793RY7TM78ZBKJDOA7ADT6Q,opt_rand_model,2833.0348718925393,2833.71076475304,[0.4920300185526423]
ALH1K6ZAQQMN7:3IXEICO793RY7TM78ZBKJDOA7ADT6Q,hill_climbing_model,3402.9772745806804,3405.85109520589,"[0.913327872160512, -0.9558347316944379, 0.11777917609789026]"
ALH1K6ZAQQMN7:3IXEICO793RY7TM78ZBKJDOA7ADT6Q,random_model,3529.850314530643,3529.8503145306054,[0.3819660112501051]
ARWF605I7RWM7:3AZHRG4CU5SYU12YRVPCSZALW5003R,gamma_only_model,4347.107765720313,4347.9644169652975,[0.0837927832220377]
ARWF605I7RWM7:3AZHRG4CU5SYU12YRVPCSZALW5003R,gamma_0_model,4401.09766971906,4401.298734982221,[0.5174464565055283]
ARWF605I7RWM7:3AZHRG4CU5SYU12YRVPCSZALW5003R,gamma_no_same_model,4541.147157323976,4542.136315198471,[0.13025879747633454]
ARWF605I7RWM7:3AZHRG4CU5SYU12YRVPCSZALW5003R,eureka_model,4672.433140815564,4678.40891553485,"[12.758548564721188, 0.6448911862846092]"
ARWF605I7RWM7:3AZHRG4CU5SYU12YRVPCSZALW5003R,forward_search,4670.313504621454,4673.783005348186,"[1.4663117118617288, 285400.0]"
ARWF605I7RWM7:3AZHRG4CU5SYU12YRVPCSZALW5003R,opt_rand_model,4689.560442616756,4690.234315854436,[0.7241945073991768]
ARWF605I7RWM7:3AZHRG4CU5SYU12YRVPCSZALW5003R,hill_climbing_model,4826.487084000437,4830.279429849324,"[0.5895152795965214, -1.0476323798596845, -0.023927424838490908]"
ARWF605I7RWM7:3AZHRG4CU5SYU12YRVPCSZALW5003R,random_model,5003.898592666578,5003.898592666533,[0.3819660112501051]
A3CTXNQ2GXIQSP:34HJIJKLP64Z5YMIU6IKNXSH7PDV4I,gamma_only_model,2081.063541206448,2081.7858495491773,[0.0436318780055988]
A3CTXNQ2GXIQSP:34HJIJKLP64Z5YMIU6IKNXSH7PDV4I,gamma_0_model,2114.5589265002836,2116.3763249096837,[0.3008160260771609]
A3CTXNQ2GXIQSP:34HJIJKLP64Z5YMIU6IKNXSH7PDV4I,gamma_no_same_model,2229.0075175864913,2229.521991929155,[0.06831779074072399]
A3CTXNQ2GXIQSP:34HJIJKLP64Z5YMIU6IKNXSH7PDV4I,eureka_model,2191.505807109826,2200.557362567423,"[13.999999999999998, 0.4266810304180639]"
A3CTXNQ2GXIQSP:34HJIJKLP64Z5YMIU6IKNXSH7PDV4I,forward_search,2173.2367258768477,2176.1568942957924,"[0.9016994374947426, 1.0e10]"
